row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1	ModePrior_2	MAP_2	MaxL_2	MeanPost_2	VarPost_2	CVPost_2	MinPost_2	MaxPost_2	ModePrior_3	MAP_3	MaxL_3	MeanPost_3	VarPost_3	CVPost_3	MinPost_3	MaxPost_3	ModePrior_4	MAP_4	MaxL_4	MeanPost_4	VarPost_4	CVPost_4	MinPost_4	MaxPost_4	ModePrior_5	MAP_5	MaxL_5	MeanPost_5	VarPost_5	CVPost_5	MinPost_5	MaxPost_5	ModePrior_6	MAP_6	MaxL_6	MeanPost_6	VarPost_6	CVPost_6	MinPost_6	MaxPost_6	ModePrior_7	MAP_7	MaxL_7	MeanPost_7	VarPost_7	CVPost_7	MinPost_7	MaxPost_7	ModePrior_8	MAP_8	MaxL_8	MeanPost_8	VarPost_8	CVPost_8	MinPost_8	MaxPost_8	ModePrior_9	MAP_9	MaxL_9	MeanPost_9	VarPost_9	CVPost_9	MinPost_9	MaxPost_9
YG	0.64	0.7306	0.834	0.709	0.003775	0.08667	0.514	0.8651	0.64	0.7306	0.834	0.709	0.003775	0.08667	0.514	0.8651	0.64	0.7306	0.834	0.709	0.003775	0.08667	0.514	0.8651	0.64	0.7306	0.834	0.709	0.003775	0.08667	0.514	0.8651	0.64	0.7306	0.834	0.709	0.003775	0.08667	0.514	0.8651	0.64	0.7306	0.834	0.709	0.003775	0.08667	0.514	0.8651	0.64	0.7306	0.834	0.709	0.003775	0.08667	0.514	0.8651	0.64	0.7306	0.834	0.709	0.003775	0.08667	0.514	0.8651	0.64	0.7306	0.834	0.709	0.003775	0.08667	0.514	0.8651
LAT	-35.61	-35.61	-35.61	-35.61	0	0	-35.61	-35.61	-35.61	-35.61	-35.61	-35.61	0	0	-35.61	-35.61	-35.61	-35.61	-35.61	-35.61	0	0	-35.61	-35.61	-37.77	-37.77	-37.77	-37.77	0	0	-37.77	-37.77	-37.77	-37.77	-37.77	-37.77	0	0	-37.77	-37.77	-37.77	-37.77	-37.77	-37.77	0	0	-37.77	-37.77	-43.64	-43.64	-43.64	-43.64	0	0	-43.64	-43.64	-43.64	-43.64	-43.64	-43.64	0	0	-43.64	-43.64	-43.64	-43.64	-43.64	-43.64	0	0	-43.64	-43.64
WCI	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3
FWCAD	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05
FWCWP	0.3	0.3663	0.372	0.3282	0.002103	0.1397	0.1226	0.4625	0.3	0.3663	0.372	0.3282	0.002103	0.1397	0.1226	0.4625	0.3	0.3663	0.372	0.3282	0.002103	0.1397	0.1226	0.4625	0.3	0.2173	0.2758	0.2387	0.002433	0.2067	0.1033	0.4273	0.3	0.2173	0.2758	0.2387	0.002433	0.2067	0.1033	0.4273	0.3	0.2173	0.2758	0.2387	0.002433	0.2067	0.1033	0.4273	0.3	0.2773	0.2869	0.2595	0.002384	0.1882	0.1146	0.4919	0.3	0.2773	0.2869	0.2595	0.002384	0.1882	0.1146	0.4919	0.3	0.2773	0.2869	0.2595	0.002384	0.1882	0.1146	0.4919
FWCFC	0.6	0.6489	0.6853	0.6334	0.003184	0.08909	0.3604	0.7969	0.6	0.6489	0.6853	0.6334	0.003184	0.08909	0.3604	0.7969	0.6	0.6489	0.6853	0.6334	0.003184	0.08909	0.3604	0.7969	0.6	0.6327	0.733	0.6559	0.002986	0.08331	0.3957	0.7865	0.6	0.6327	0.733	0.6559	0.002986	0.08331	0.3957	0.7865	0.6	0.6327	0.733	0.6559	0.002986	0.08331	0.3957	0.7865	0.6	0.6555	0.5822	0.6378	0.002562	0.07936	0.2293	0.7917	0.6	0.6555	0.5822	0.6378	0.002562	0.07936	0.2293	0.7917	0.6	0.6555	0.5822	0.6378	0.002562	0.07936	0.2293	0.7917
FWCWET	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95
WCST	0.55	0.55	0.55	0.55	0	0	0.55	0.55	0.55	0.55	0.55	0.55	0	0	0.55	0.55	0.55	0.55	0.55	0.55	0	0	0.55	0.55	0.55	0.55	0.55	0.55	0	0	0.55	0.55	0.55	0.55	0.55	0.55	0	0	0.55	0.55	0.55	0.55	0.55	0.55	0	0	0.55	0.55	0.55	0.55	0.55	0.55	0	0	0.55	0.55	0.55	0.55	0.55	0.55	0	0	0.55	0.55	0.55	0.55	0.55	0.55	0	0	0.55	0.55
WpoolMax	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50
Dparam	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318
FGAS	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4
FO2MX	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21
KTSNOW	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65
Hparam	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592
KRDRANAER	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2
KRESPHARD	0.01	0.01155	0.01686	0.01572	4.517e-05	0.4274	0.001257	0.03792	0.01	0.01155	0.01686	0.01572	4.517e-05	0.4274	0.001257	0.03792	0.01	0.01155	0.01686	0.01572	4.517e-05	0.4274	0.001257	0.03792	0.01	0.01155	0.01686	0.01572	4.517e-05	0.4274	0.001257	0.03792	0.01	0.01155	0.01686	0.01572	4.517e-05	0.4274	0.001257	0.03792	0.01	0.01155	0.01686	0.01572	4.517e-05	0.4274	0.001257	0.03792	0.01	0.01155	0.01686	0.01572	4.517e-05	0.4274	0.001257	0.03792	0.01	0.01155	0.01686	0.01572	4.517e-05	0.4274	0.001257	0.03792	0.01	0.01155	0.01686	0.01572	4.517e-05	0.4274	0.001257	0.03792
KRSR3H	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1
KRTOTAER	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2
KSNOW	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035
LAMBDAsoil	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800
LDT50A	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34
LDT50B	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113
LT50MN	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68
LT50MX	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
RATEDMX	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2
reHardRedDay	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145
RHOnewSnow	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100
RHOpack	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02
SWret	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1
SWrf	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
THARDMX	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71
TmeltFreeze	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrainSnow	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
TsurfDiff	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228
KLUETILG	0.5	0.6311	0.5731	0.4483	0.02522	0.3543	0.02308	0.9487	0.5	0.6311	0.5731	0.4483	0.02522	0.3543	0.02308	0.9487	0.5	0.6311	0.5731	0.4483	0.02522	0.3543	0.02308	0.9487	0.5	0.6311	0.5731	0.4483	0.02522	0.3543	0.02308	0.9487	0.5	0.6311	0.5731	0.4483	0.02522	0.3543	0.02308	0.9487	0.5	0.6311	0.5731	0.4483	0.02522	0.3543	0.02308	0.9487	0.5	0.6311	0.5731	0.4483	0.02522	0.3543	0.02308	0.9487	0.5	0.6311	0.5731	0.4483	0.02522	0.3543	0.02308	0.9487	0.5	0.6311	0.5731	0.4483	0.02522	0.3543	0.02308	0.9487
FRTILGG1I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAYLG1G2	0.575	0.5723	0.586	0.5756	5.421e-05	0.01279	0.5544	0.598	0.575	0.5723	0.586	0.5756	5.421e-05	0.01279	0.5544	0.598	0.575	0.5723	0.586	0.5756	5.421e-05	0.01279	0.5544	0.598	0.575	0.5723	0.586	0.5756	5.421e-05	0.01279	0.5544	0.598	0.575	0.5723	0.586	0.5756	5.421e-05	0.01279	0.5544	0.598	0.575	0.5723	0.586	0.5756	5.421e-05	0.01279	0.5544	0.598	0.575	0.5723	0.586	0.5756	5.421e-05	0.01279	0.5544	0.598	0.575	0.5723	0.586	0.5756	5.421e-05	0.01279	0.5544	0.598	0.575	0.5723	0.586	0.5756	5.421e-05	0.01279	0.5544	0.598
RGRTG1G2	0.6	0.5902	0.4756	0.6126	0.0194	0.2273	0.12	0.9751	0.6	0.5902	0.4756	0.6126	0.0194	0.2273	0.12	0.9751	0.6	0.5902	0.4756	0.6126	0.0194	0.2273	0.12	0.9751	0.6	0.5902	0.4756	0.6126	0.0194	0.2273	0.12	0.9751	0.6	0.5902	0.4756	0.6126	0.0194	0.2273	0.12	0.9751	0.6	0.5902	0.4756	0.6126	0.0194	0.2273	0.12	0.9751	0.6	0.5902	0.4756	0.6126	0.0194	0.2273	0.12	0.9751	0.6	0.5902	0.4756	0.6126	0.0194	0.2273	0.12	0.9751	0.6	0.5902	0.4756	0.6126	0.0194	0.2273	0.12	0.9751
RDRTMIN	0.005	0.0049	0.009973	0.005549	5.324e-06	0.4158	0.0001796	0.01525	0.005	0.0049	0.009973	0.005549	5.324e-06	0.4158	0.0001796	0.01525	0.005	0.0049	0.009973	0.005549	5.324e-06	0.4158	0.0001796	0.01525	0.005	0.0049	0.009973	0.005549	5.324e-06	0.4158	0.0001796	0.01525	0.005	0.0049	0.009973	0.005549	5.324e-06	0.4158	0.0001796	0.01525	0.005	0.0049	0.009973	0.005549	5.324e-06	0.4158	0.0001796	0.01525	0.005	0.0049	0.009973	0.005549	5.324e-06	0.4158	0.0001796	0.01525	0.005	0.0049	0.009973	0.005549	5.324e-06	0.4158	0.0001796	0.01525	0.005	0.0049	0.009973	0.005549	5.324e-06	0.4158	0.0001796	0.01525
TVERN	4	5.401	5.444	5.181	0.3498	0.1142	3.102	7.064	4	5.401	5.444	5.181	0.3498	0.1142	3.102	7.064	4	5.401	5.444	5.181	0.3498	0.1142	3.102	7.064	4	5.401	5.444	5.181	0.3498	0.1142	3.102	7.064	4	5.401	5.444	5.181	0.3498	0.1142	3.102	7.064	4	5.401	5.444	5.181	0.3498	0.1142	3.102	7.064	4	5.401	5.444	5.181	0.3498	0.1142	3.102	7.064	4	5.401	5.444	5.181	0.3498	0.1142	3.102	7.064	4	5.401	5.444	5.181	0.3498	0.1142	3.102	7.064
TVERND	21	21.05	20.67	20.95	5.633	0.1133	14.98	27.7	21	21.05	20.67	20.95	5.633	0.1133	14.98	27.7	21	21.05	20.67	20.95	5.633	0.1133	14.98	27.7	21	21.05	20.67	20.95	5.633	0.1133	14.98	27.7	21	21.05	20.67	20.95	5.633	0.1133	14.98	27.7	21	21.05	20.67	20.95	5.633	0.1133	14.98	27.7	21	21.05	20.67	20.95	5.633	0.1133	14.98	27.7	21	21.05	20.67	20.95	5.633	0.1133	14.98	27.7	21	21.05	20.67	20.95	5.633	0.1133	14.98	27.7
RDRSTUB	0.2	0.2243	0.08908	0.2126	0.003786	0.2894	0.007376	0.3903	0.2	0.2243	0.08908	0.2126	0.003786	0.2894	0.007376	0.3903	0.2	0.2243	0.08908	0.2126	0.003786	0.2894	0.007376	0.3903	0.2	0.2243	0.08908	0.2126	0.003786	0.2894	0.007376	0.3903	0.2	0.2243	0.08908	0.2126	0.003786	0.2894	0.007376	0.3903	0.2	0.2243	0.08908	0.2126	0.003786	0.2894	0.007376	0.3903	0.2	0.2243	0.08908	0.2126	0.003786	0.2894	0.007376	0.3903	0.2	0.2243	0.08908	0.2126	0.003786	0.2894	0.007376	0.3903	0.2	0.2243	0.08908	0.2126	0.003786	0.2894	0.007376	0.3903
LERGB	1.75	1.915	2.133	1.854	0.152	0.2103	0.4495	2.96	1.75	1.915	2.133	1.854	0.152	0.2103	0.4495	2.96	1.75	1.915	2.133	1.854	0.152	0.2103	0.4495	2.96	1.75	1.915	2.133	1.854	0.152	0.2103	0.4495	2.96	1.75	1.915	2.133	1.854	0.152	0.2103	0.4495	2.96	1.75	1.915	2.133	1.854	0.152	0.2103	0.4495	2.96	1.75	1.915	2.133	1.854	0.152	0.2103	0.4495	2.96	1.75	1.915	2.133	1.854	0.152	0.2103	0.4495	2.96	1.75	1.915	2.133	1.854	0.152	0.2103	0.4495	2.96
RDRROOT	0.003	0.003972	0.003463	0.003281	1.281e-06	0.3449	0.001008	0.007509	0.003	0.003972	0.003463	0.003281	1.281e-06	0.3449	0.001008	0.007509	0.003	0.003972	0.003463	0.003281	1.281e-06	0.3449	0.001008	0.007509	0.003	0.003972	0.003463	0.003281	1.281e-06	0.3449	0.001008	0.007509	0.003	0.003972	0.003463	0.003281	1.281e-06	0.3449	0.001008	0.007509	0.003	0.003972	0.003463	0.003281	1.281e-06	0.3449	0.001008	0.007509	0.003	0.003972	0.003463	0.003281	1.281e-06	0.3449	0.001008	0.007509	0.003	0.003972	0.003463	0.003281	1.281e-06	0.3449	0.001008	0.007509	0.003	0.003972	0.003463	0.003281	1.281e-06	0.3449	0.001008	0.007509
DAYLA	0.5	0.4325	0.5005	0.4471	0.0006095	0.05521	0.4008	0.5759	0.5	0.4325	0.5005	0.4471	0.0006095	0.05521	0.4008	0.5759	0.5	0.4325	0.5005	0.4471	0.0006095	0.05521	0.4008	0.5759	0.5	0.4325	0.5005	0.4471	0.0006095	0.05521	0.4008	0.5759	0.5	0.4325	0.5005	0.4471	0.0006095	0.05521	0.4008	0.5759	0.5	0.4325	0.5005	0.4471	0.0006095	0.05521	0.4008	0.5759	0.5	0.4325	0.5005	0.4471	0.0006095	0.05521	0.4008	0.5759	0.5	0.4325	0.5005	0.4471	0.0006095	0.05521	0.4008	0.5759	0.5	0.4325	0.5005	0.4471	0.0006095	0.05521	0.4008	0.5759
DAYLRV	0.55	0.5469	0.5214	0.5338	0.0004374	0.03918	0.462	0.5998	0.55	0.5469	0.5214	0.5338	0.0004374	0.03918	0.462	0.5998	0.55	0.5469	0.5214	0.5338	0.0004374	0.03918	0.462	0.5998	0.55	0.5469	0.5214	0.5338	0.0004374	0.03918	0.462	0.5998	0.55	0.5469	0.5214	0.5338	0.0004374	0.03918	0.462	0.5998	0.55	0.5469	0.5214	0.5338	0.0004374	0.03918	0.462	0.5998	0.55	0.5469	0.5214	0.5338	0.0004374	0.03918	0.462	0.5998	0.55	0.5469	0.5214	0.5338	0.0004374	0.03918	0.462	0.5998	0.55	0.5469	0.5214	0.5338	0.0004374	0.03918	0.462	0.5998
FCOCRESMN	0.5	0.4862	0.2942	0.4225	0.0177	0.3149	0.1011	0.8856	0.5	0.4862	0.2942	0.4225	0.0177	0.3149	0.1011	0.8856	0.5	0.4862	0.2942	0.4225	0.0177	0.3149	0.1011	0.8856	0.5	0.4862	0.2942	0.4225	0.0177	0.3149	0.1011	0.8856	0.5	0.4862	0.2942	0.4225	0.0177	0.3149	0.1011	0.8856	0.5	0.4862	0.2942	0.4225	0.0177	0.3149	0.1011	0.8856	0.5	0.4862	0.2942	0.4225	0.0177	0.3149	0.1011	0.8856	0.5	0.4862	0.2942	0.4225	0.0177	0.3149	0.1011	0.8856	0.5	0.4862	0.2942	0.4225	0.0177	0.3149	0.1011	0.8856
KCRT	10	15.29	13.16	14.95	105.9	0.6882	1.078	59	10	15.29	13.16	14.95	105.9	0.6882	1.078	59	10	15.29	13.16	14.95	105.9	0.6882	1.078	59	10	15.29	13.16	14.95	105.9	0.6882	1.078	59	10	15.29	13.16	14.95	105.9	0.6882	1.078	59	10	15.29	13.16	14.95	105.9	0.6882	1.078	59	10	15.29	13.16	14.95	105.9	0.6882	1.078	59	10	15.29	13.16	14.95	105.9	0.6882	1.078	59	10	15.29	13.16	14.95	105.9	0.6882	1.078	59
